Index, accelX, accelY, accelZ, magX, magY, magZ, gyroX, gyroY, gyroZ, temp, rH, pressure, proximity, maxAudio
284,  -0.024, -0.471,  0.802, -85.310, 54.060, 23.360,  4.520,  1.400, -0.060, 31.870, 37.660, 96.940, 247, 296
285,  -0.133, -0.571,  0.864, -68.520, 51.550, 26.040,  4.210,  0.610,  0.120, 31.890, 37.640, 96.940, 249, 299
286,  -0.108, -0.630,  0.834, -23.340, 47.840, 27.260,  4.390,  0.920,  0.000, 31.890, 37.580, 96.940, 248, 333
287,   0.025, -0.571,  0.796,  6.910, 46.570, 28.120,  4.390,  1.340, -0.120, 31.850, 37.630, 96.940, 247, 389
288,  -0.090, -0.457,  0.805, 38.120, 50.290, 25.430,  4.150,  0.610,  0.000, 31.870, 37.570, 96.940, 251, 347
289,  -0.115, -0.620,  0.874, 92.070, 54.000, 19.240,  4.580,  0.920, -0.120, 31.850, 37.610, 96.940, 249, 403
290,  -0.040, -0.583,  0.871, 147.380, 55.080, 13.170,  4.150,  1.220, -0.180, 31.870, 37.590, 96.940, 245, 336
291,  -0.028, -0.516,  0.764, 183.230, 54.710, 10.610,  4.460,  0.670,  0.120, 31.870, 37.610, 96.940, 248, 280
292,  -0.069, -0.522,  0.806, 187.110, 57.100,  9.690,  4.580,  1.040, -0.060, 31.920, 37.620, 96.940, 247, 352
293,  -0.113, -0.612,  0.914, 155.900, 59.840,  5.860,  4.330,  0.790,  0.000, 31.890, 37.620, 96.940, 247, 381
294,  -0.054, -0.596,  0.815, 113.430, 64.380,  4.930,  4.210,  0.610,  0.060, 31.890, 37.610, 96.940, 248, 378
295,  -0.004, -0.520,  0.753, 88.430, 63.310,  5.960,  4.520,  1.100, -0.060, 31.850, 37.600, 96.940, 249, 301
296,  -0.127, -0.499,  0.846, 48.080, 58.120, 10.800,  4.330,  0.850,  0.000, 31.850, 37.630, 96.940, 249, 300
297,  -0.142, -0.632,  0.879, -9.940, 55.590, 16.810,  4.820,  0.790,  0.060, 31.850, 37.540, 96.940, 246, 328
