Index, accelX, accelY, accelZ, magX, magY, magZ, gyroX, gyroY, gyroZ, temp, rH, pressure, proximity, maxAudio
654,  -0.111, -0.572,  0.822, 86.110, 53.100, 19.030,  4.150,  1.040, -0.060, 31.830, 37.780, 96.910, 248, 151
655,  -0.088, -0.602,  0.855, 130.800, 54.680, 14.450,  4.700,  0.730,  0.060, 31.830, 37.750, 96.940, 252, 279
656,  -0.031, -0.535,  0.820, 159.590, 55.590, 11.080,  4.270,  1.160,  0.000, 31.810, 37.830, 96.940, 249, 135
657,  -0.047, -0.496,  0.814, 149.010, 59.190,  8.000,  4.150,  1.220, -0.060, 31.870, 37.820, 96.930, 246, 91
658,  -0.108, -0.580,  0.815, 115.150, 63.130,  5.730,  4.760,  0.850,  0.060, 31.830, 37.830, 96.940, 250, 132
659,  -0.076, -0.580,  0.856, 94.820, 62.810,  6.010,  4.390,  0.980,  0.000, 31.850, 37.760, 96.940, 246, 209
660,  -0.018, -0.517,  0.824, 68.190, 59.790,  9.480,  4.030,  0.850, -0.240, 31.830, 37.820, 96.930, 246, 138
661,  -0.092, -0.558,  0.792, 23.380, 56.630, 14.030,  4.330,  0.920,  0.180, 31.830, 37.750, 96.940, 248, 104
662,  -0.102, -0.577,  0.863, -24.010, 55.240, 18.520,  4.520,  0.980, -0.120, 31.850, 37.820, 96.940, 249, 113
663,  -0.064, -0.549,  0.861, -53.200, 54.410, 21.910,  4.520,  1.040, -0.060, 31.870, 37.740, 96.930, 247, 159
664,  -0.024, -0.517,  0.815, -56.260, 52.000, 24.850,  3.970,  1.100,  0.000, 31.800, 37.850, 96.940, 248, 115
665,  -0.103, -0.561,  0.791, -30.730, 48.970, 26.090,  4.580,  1.040,  0.180, 31.850, 37.750, 96.940, 248, 111
666,  -0.106, -0.560,  0.876, -0.770, 46.000, 29.370,  4.390,  0.980,  0.000, 31.850, 37.800, 96.940, 248, 109
667,  -0.025, -0.547,  0.849, 18.790, 47.330, 26.420,  4.150,  1.100,  0.000, 31.850, 37.780, 96.930, 248, 149
668,  -0.057, -0.527,  0.781, 52.860, 50.330, 22.030,  4.460,  0.980,  0.000, 31.870, 37.850, 96.940, 249, 136
669,  -0.097, -0.545,  0.833, 101.840, 54.020, 17.050,  4.640,  0.730,  0.060, 31.830, 37.780, 96.940, 248, 167
670,  -0.072, -0.558,  0.895, 143.730, 54.690, 14.370,  4.150,  1.220, -0.120, 31.870, 37.840, 96.940, 248, 278
671,  -0.043, -0.560,  0.833, 162.870, 55.930, 11.660,  4.210,  1.040,  0.000, 31.830, 37.830, 96.940, 248, 172
672,  -0.060, -0.526,  0.789, 154.100, 58.400,  7.360,  4.520,  0.790, -0.060, 31.830, 37.830, 96.930, 249, 128
673,  -0.095, -0.536,  0.870, 122.130, 62.930,  5.870,  4.210,  1.100,  0.000, 31.850, 37.830, 96.930, 248, 144
674,  -0.058, -0.560,  0.869, 99.630, 63.810,  6.690,  4.090,  1.160, -0.120, 31.870, 37.730, 96.940, 248, 231
675,  -0.036, -0.565,  0.779, 75.160, 60.800,  8.910,  4.520,  0.920,  0.120, 31.830, 37.770, 96.940, 246, 517
676,  -0.082, -0.500,  0.808, 32.510, 56.680, 13.440,  4.940,  0.980,  0.000, 31.830, 37.820, 96.930, 247, 194
677,  -0.082, -0.544,  0.886, -16.320, 55.290, 18.320,  3.970,  1.160, -0.120, 31.870, 37.730, 96.940, 246, 161
678,  -0.062, -0.587,  0.842, -50.620, 54.660, 21.390,  4.390,  0.920,  0.120, 31.810, 37.810, 96.940, 248, 170
679,  -0.063, -0.571,  0.768, -58.280, 52.700, 24.410,  4.520,  0.920,  0.060, 31.810, 37.780, 96.940, 247, 294
680,  -0.070, -0.505,  0.838, -35.780, 49.350, 25.760,  4.210,  0.920, -0.180, 31.810, 37.860, 96.930, 247, 125
681,  -0.092, -0.573,  0.885, -3.030, 46.280, 27.260,  4.460,  1.040,  0.000, 31.810, 37.810, 96.940, 249, 163
682,  -0.054, -0.619,  0.812, 17.020, 47.680, 27.690,  4.820,  0.790,  0.060, 31.800, 37.780, 96.940, 246, 127
683,  -0.049, -0.502,  0.799, 50.920, 51.480, 21.840,  5.070,  0.730,  0.000, 31.830, 37.840, 96.940, 243, 225
684,  -0.062, -0.517,  0.860, 100.720, 54.130, 17.830,  4.210,  1.040, -0.060, 31.810, 37.780, 96.930, 248, 197
685,  -0.089, -0.602,  0.840, 142.350, 54.980, 13.000,  4.390,  0.790,  0.060, 31.810, 37.770, 96.940, 249, 132
686,  -0.061, -0.595,  0.781, 163.090, 56.250, 11.410,  4.880,  0.610,  0.060, 31.870, 37.850, 96.930, 248, 88
687,  -0.042, -0.490,  0.815, 156.690, 58.130,  8.940,  4.270,  0.730,  0.060, 31.830, 37.810, 96.940, 246, 177
688,  -0.096, -0.561,  0.864, 124.330, 62.560,  5.970,  4.460,  1.040, -0.120, 31.830, 37.810, 96.940, 248, 118
689,  -0.085, -0.623,  0.839, 100.660, 64.510,  5.540,  4.820,  0.730,  0.060, 31.850, 37.780, 96.940, 245, 133
690,  -0.046, -0.558,  0.792, 78.030, 61.120,  7.670,  4.700,  0.730,  0.000, 31.830, 37.780, 96.940, 246, 142
691,  -0.045, -0.497,  0.814, 37.810, 57.060, 12.110,  4.030,  0.980,  0.000, 31.810, 37.820, 96.930, 247, 125
692,  -0.106, -0.600,  0.839, -11.180, 55.430, 18.490,  4.520,  0.980,  0.120, 31.830, 37.790, 96.930, 250, 142
693,  -0.074, -0.609,  0.813, -47.600, 54.110, 21.450,  4.820,  0.790,  0.000, 31.830, 37.770, 96.940, 247, 143
694,  -0.019, -0.513,  0.815, -59.240, 53.170, 23.400,  4.460,  0.980, -0.120, 31.830, 37.830, 96.900, 247, 163
695,  -0.087, -0.537,  0.802, -38.810, 49.940, 25.850,  4.330,  0.730,  0.060, 31.870, 37.790, 96.870, 245, 142
696,  -0.119, -0.600,  0.837, -3.340, 46.020, 27.940,  4.700,  0.730,  0.120, 31.850, 37.810, 96.850, 248, 145
697,  -0.047, -0.560,  0.832, 16.420, 47.770, 27.880,  4.210,  0.790, -0.060, 31.890, 37.790, 96.850, 250, 143
698,  -0.048, -0.530,  0.786, 50.590, 51.330, 22.710,  4.150,  1.100, -0.120, 31.830, 37.790, 96.860, 248, 166
699,  -0.105, -0.573,  0.817, 101.110, 54.030, 17.880,  4.640,  0.790, -0.120, 31.870, 37.780, 96.850, 248, 117
700,  -0.099, -0.588,  0.865, 143.770, 55.220, 13.650,  4.640,  0.790, -0.120, 31.870, 37.810, 96.870, 248, 143
701,  -0.002, -0.531,  0.839, 163.610, 56.880, 11.840,  4.270,  0.850,  0.000, 31.810, 37.770, 96.900, 246, 132
702,  -0.063, -0.553,  0.768, 154.610, 58.940,  7.780,  4.520,  0.920,  0.060, 31.830, 37.830, 96.930, 250, 114
703,  -0.108, -0.565,  0.837, 121.940, 62.700,  6.010,  4.760,  0.920,  0.120, 31.830, 37.850, 96.940, 247, 108
704,  -0.075, -0.552,  0.875, 99.480, 63.920,  4.160,  4.090,  0.920, -0.180, 31.830, 37.830, 96.930, 250, 144
705,  -0.044, -0.591,  0.782, 56.380, 58.810, 10.850,  4.150,  0.980, -0.060, 31.870, 37.880, 96.940, 244, 176
706,  -0.082, -0.548,  0.769,  8.010, 56.310, 15.390,  4.940,  0.850,  0.000, 31.830, 37.770, 96.940, 248, 145
707,  -0.102, -0.551,  0.872, -34.720, 55.190, 20.430,  4.390,  0.920, -0.120, 31.810, 37.760, 96.940, 247, 178
708,  -0.050, -0.565,  0.871, -56.690, 53.750, 22.920,  3.970,  1.160, -0.310, 31.830, 37.740, 96.940, 249, 126
709,  -0.059, -0.573,  0.764, -52.080, 51.970, 25.070,  4.760,  0.920,  0.000, 31.870, 37.820, 96.940, 247, 127
710,  -0.074, -0.519,  0.814, -21.400, 48.490, 26.610,  4.580,  0.850,  0.000, 31.870, 37.800, 96.930, 249, 277
711,  -0.081, -0.551,  0.889,  3.430, 46.400, 27.470,  4.030,  1.100,  0.000, 31.830, 37.830, 96.940, 246, 104
712,  -0.066, -0.594,  0.845, 25.060, 49.130, 24.720,  4.390,  1.100, -0.060, 31.830, 37.780, 96.940, 249, 125
713,  -0.055, -0.531,  0.781, 64.650, 52.990, 20.610,  4.700,  0.790, -0.060, 31.830, 37.810, 96.940, 248, 158
714,  -0.080, -0.506,  0.848, 112.050, 54.380, 16.210,  4.150,  0.920, -0.120, 31.870, 37.820, 96.940, 247, 110
715,  -0.076, -0.564,  0.893, 149.240, 55.130, 13.750,  4.030,  1.040,  0.000, 31.830, 37.800, 96.940, 246, 164
716,  -0.061, -0.601,  0.794, 164.700, 56.810, 10.190,  4.390,  0.920, -0.120, 31.830, 37.800, 96.940, 249, 140
